from,to,amount,resource,time
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,5
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,6
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,8
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,18
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,27
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,28
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,37
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,38
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,47
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,48
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,53
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,56
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,57
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,62
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,65
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,66
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,75
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,76
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,81
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,84
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,85
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,90
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,93
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,94
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,5
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,6
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,8
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,18
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,27
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,28
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,37
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,38
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,47
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,48
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,53
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,56
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,57
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,62
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,65
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,66
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,75
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,76
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,81
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,84
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,85
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,90
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,93
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,94
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,5
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,6
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,8
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,18
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,27
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,28
