from,to,amount,resource,time
59157180392455231,4215053395084778161,0.1666666666666643,food,7200
59157180392455231,471331748438011125,0.16666666666665897,food,7200
59157180392455231,5486152879909817087,0.16666666666664143,food,7200
59157180392455231,4215053395084778161,0.1666666666666643,water,7200
59157180392455231,471331748438011125,0.16666666666665897,water,7200
59157180392455231,5486152879909817087,0.16666666666664143,water,7200
59157180392455231,4215053395084778161,0.1666666666666643,energy,7200
59157180392455231,471331748438011125,0.16666666666665897,energy,7200
59157180392455231,5486152879909817087,0.16666666666664143,energy,7200
6020427076749934001,940376366249863041,0.16666666666670316,food,7200
6020427076749934001,6678226921428014654,0.16666666666668473,food,7200
6020427076749934001,4367212442693622771,0.16666666666666963,food,7200
6020427076749934001,9169393089374786098,0.16666666666666785,food,7200
6020427076749934001,940376366249863041,0.16666666666670316,water,7200
6020427076749934001,6678226921428014654,0.16666666666668473,water,7200
6020427076749934001,4367212442693622771,0.16666666666666963,water,7200
6020427076749934001,9169393089374786098,0.16666666666666785,water,7200
6020427076749934001,940376366249863041,0.16666666666670316,energy,7200
6020427076749934001,6678226921428014654,0.16666666666668473,energy,7200
6020427076749934001,4367212442693622771,0.16666666666666963,energy,7200
6020427076749934001,9169393089374786098,0.16666666666666785,energy,7200
59157180392455231,5486152879909817087,0.16666666666669205,food,14400
59157180392455231,471331748438011125,0.16666666666667318,food,14400
59157180392455231,4215053395084778161,0.16666666666666963,food,14400
59157180392455231,5486152879909817087,0.16666666666669205,water,14400
59157180392455231,471331748438011125,0.16666666666667318,water,14400
59157180392455231,4215053395084778161,0.16666666666666963,water,14400
59157180392455231,5486152879909817087,0.16666666666669205,energy,14400
59157180392455231,471331748438011125,0.16666666666667318,energy,14400
59157180392455231,4215053395084778161,0.16666666666666963,energy,14400
6020427076749934001,940376366249863041,0.16666666666667163,food,14400
6020427076749934001,6678226921428014654,0.16666666666666696,food,14400
6020427076749934001,4367212442693622771,0.16666666666666607,food,14400
6020427076749934001,9169393089374786098,0.16666666666666607,food,14400
6020427076749934001,940376366249863041,0.16666666666667163,water,14400
6020427076749934001,6678226921428014654,0.16666666666666696,water,14400
6020427076749934001,4367212442693622771,0.16666666666666607,water,14400
6020427076749934001,9169393089374786098,0.16666666666666607,water,14400
6020427076749934001,940376366249863041,0.16666666666667163,energy,14400
6020427076749934001,6678226921428014654,0.16666666666666696,energy,14400
6020427076749934001,4367212442693622771,0.16666666666666607,energy,14400
6020427076749934001,9169393089374786098,0.16666666666666607,energy,14400
59157180392455231,4215053395084778161,0.16666666666666696,food,21600
59157180392455231,5486152879909817087,0.16666666666666674,food,21600
59157180392455231,471331748438011125,0.16666666666666607,food,21600
59157180392455231,4215053395084778161,0.16666666666666696,water,21600
59157180392455231,5486152879909817087,0.16666666666666674,water,21600
59157180392455231,471331748438011125,0.16666666666666607,water,21600
59157180392455231,4215053395084778161,0.16666666666666696,energy,21600
59157180392455231,5486152879909817087,0.16666666666666674,energy,21600
59157180392455231,471331748438011125,0.16666666666666607,energy,21600
6020427076749934001,6678226921428014654,0.16666666666666696,food,21600
6020427076749934001,940376366249863041,0.16666666666666696,food,21600
6020427076749934001,4367212442693622771,0.16666666666666607,food,21600
6020427076749934001,9169393089374786098,0.16666666666666607,food,21600
6020427076749934001,6678226921428014654,0.16666666666666696,water,21600
6020427076749934001,940376366249863041,0.16666666666666696,water,21600
6020427076749934001,4367212442693622771,0.16666666666666607,water,21600
6020427076749934001,9169393089374786098,0.16666666666666607,water,21600
6020427076749934001,6678226921428014654,0.16666666666666696,energy,21600
6020427076749934001,940376366249863041,0.16666666666666696,energy,21600
6020427076749934001,4367212442693622771,0.16666666666666607,energy,21600
6020427076749934001,9169393089374786098,0.16666666666666607,energy,21600
59157180392455231,4215053395084778161,0.16666666666666696,food,28800
59157180392455231,5486152879909817087,0.16666666666666674,food,28800
59157180392455231,471331748438011125,0.16666666666666607,food,28800
59157180392455231,4215053395084778161,0.16666666666666696,water,28800
59157180392455231,5486152879909817087,0.16666666666666674,water,28800
59157180392455231,471331748438011125,0.16666666666666607,water,28800
59157180392455231,4215053395084778161,0.16666666666666696,energy,28800
59157180392455231,5486152879909817087,0.16666666666666674,energy,28800
59157180392455231,471331748438011125,0.16666666666666607,energy,28800
6020427076749934001,6678226921428014654,0.16666666666666696,food,28800
6020427076749934001,940376366249863041,0.16666666666666674,food,28800
6020427076749934001,4367212442693622771,0.16666666666666607,food,28800
6020427076749934001,9169393089374786098,0.16666666666666607,food,28800
6020427076749934001,6678226921428014654,0.16666666666666696,water,28800
6020427076749934001,940376366249863041,0.16666666666666674,water,28800
6020427076749934001,4367212442693622771,0.16666666666666607,water,28800
6020427076749934001,9169393089374786098,0.16666666666666607,water,28800
6020427076749934001,6678226921428014654,0.16666666666666696,energy,28800
6020427076749934001,940376366249863041,0.16666666666666674,energy,28800
6020427076749934001,4367212442693622771,0.16666666666666607,energy,28800
6020427076749934001,9169393089374786098,0.16666666666666607,energy,28800
59157180392455231,471331748438011125,0.16666666666666075,food,36000
59157180392455231,4215053395084778161,0.16666666666665542,food,36000
59157180392455231,5486152879909817087,0.1666666666666199,food,36000
59157180392455231,471331748438011125,0.16666666666666075,water,36000
59157180392455231,4215053395084778161,0.16666666666665542,water,36000
59157180392455231,5486152879909817087,0.1666666666666199,water,36000
59157180392455231,471331748438011125,0.16666666666666075,energy,36000
59157180392455231,4215053395084778161,0.16666666666665542,energy,36000
59157180392455231,5486152879909817087,0.1666666666666199,energy,36000
6020427076749934001,6678226921428014654,0.16666666666666696,food,36000
6020427076749934001,940376366249863041,0.16666666666666674,food,36000
6020427076749934001,4367212442693622771,0.16666666666666607,food,36000
6020427076749934001,9169393089374786098,0.16666666666666607,food,36000
6020427076749934001,6678226921428014654,0.16666666666666696,water,36000
6020427076749934001,940376366249863041,0.16666666666666674,water,36000
6020427076749934001,4367212442693622771,0.16666666666666607,water,36000
6020427076749934001,9169393089374786098,0.16666666666666607,water,36000
6020427076749934001,6678226921428014654,0.16666666666666696,energy,36000
6020427076749934001,940376366249863041,0.16666666666666674,energy,36000
6020427076749934001,4367212442693622771,0.16666666666666607,energy,36000
6020427076749934001,9169393089374786098,0.16666666666666607,energy,36000
59157180392455231,5486152879909817087,0.1666666666667045,food,43200
59157180392455231,4215053395084778161,0.16666666666667762,food,43200
59157180392455231,471331748438011125,0.1666666666666714,food,43200
59157180392455231,5486152879909817087,0.1666666666667045,water,43200
59157180392455231,4215053395084778161,0.16666666666667762,water,43200
59157180392455231,471331748438011125,0.1666666666666714,water,43200
59157180392455231,5486152879909817087,0.1666666666667045,energy,43200
59157180392455231,4215053395084778161,0.16666666666667762,energy,43200
59157180392455231,471331748438011125,0.1666666666666714,energy,43200
6020427076749934001,6678226921428014654,0.16666666666666696,food,43200
4367212442693622771,940376366249863041,0.16666666666666674,food,43200
6020427076749934001,9169393089374786098,0.14919573875125192,food,43200
4367212442693622771,9169393089374786098,0.017470927915412604,food,43200
6020427076749934001,6678226921428014654,0.16666666666666696,water,43200
4367212442693622771,940376366249863041,0.16666666666666674,water,43200
6020427076749934001,9169393089374786098,0.14919573875125192,water,43200
4367212442693622771,9169393089374786098,0.017470927915412604,water,43200
6020427076749934001,6678226921428014654,0.16666666666666696,energy,43200
4367212442693622771,940376366249863041,0.16666666666666674,energy,43200
6020427076749934001,9169393089374786098,0.14919573875125192,energy,43200
4367212442693622771,9169393089374786098,0.017470927915412604,energy,43200
59157180392455231,4215053395084778161,0.16666666666666785,food,50400
59157180392455231,471331748438011125,0.16666666666666607,food,50400
59157180392455231,5486152879909817087,0.16666666666666496,food,50400
59157180392455231,4215053395084778161,0.16666666666666785,water,50400
59157180392455231,471331748438011125,0.16666666666666607,water,50400
59157180392455231,5486152879909817087,0.16666666666666496,water,50400
59157180392455231,4215053395084778161,0.16666666666666785,energy,50400
59157180392455231,471331748438011125,0.16666666666666607,energy,50400
59157180392455231,5486152879909817087,0.16666666666666496,energy,50400
6020427076749934001,6678226921428014654,0.16666666666666696,food,50400
4367212442693622771,940376366249863041,0.16666666666666674,food,50400
6020427076749934001,9169393089374786098,0.08333433061897377,food,50400
4367212442693622771,9169393089374786098,0.0833323360476923,food,50400
6020427076749934001,6678226921428014654,0.16666666666666696,water,50400
4367212442693622771,940376366249863041,0.16666666666666674,water,50400
6020427076749934001,9169393089374786098,0.08333433061897377,water,50400
4367212442693622771,9169393089374786098,0.0833323360476923,water,50400
6020427076749934001,6678226921428014654,0.16666666666666696,energy,50400
4367212442693622771,940376366249863041,0.16666666666666674,energy,50400
6020427076749934001,9169393089374786098,0.08333433061897377,energy,50400
4367212442693622771,9169393089374786098,0.0833323360476923,energy,50400
59157180392455231,5486152879909817087,0.1666666666666765,food,57600
59157180392455231,4215053395084778161,0.16666666666666696,food,57600
59157180392455231,471331748438011125,0.16666666666666607,food,57600
